persona_id,treatment_group,pre_expectation,post_expectation,expectation_change,persona_age,persona_gender,persona_education,persona_income,persona_region,persona_province,persona_urban_rural,persona_financial_literacy,persona_media_exposure,persona_risk_attitude,persona_expenditure_bracket,persona_expenditure
P17509238363873,media_narrative_positive,5.0,4.0,-1.0,40,Male,Senior High School,6328314.104921849,Kalimantan,West Kalimantan,Urban,5,5,8,3.1-4 Juta,3285590.263739991
P17509238368465,full_policy_context,4.0,4.0,0.0,33,Male,Diploma,11214114.469856162,Sumatra,Riau Islands,Urban,7,7,2,6.1-7 Juta,6164141.154066596
P17509238364459,media_narrative_positive,5.0,4.0,-1.0,41,Female,Senior High School,3429594.0908980416,Kalimantan,South Kalimantan,Urban,6,6,3,1-2 Juta,1105892.0796119669
P17509238367936,media_narrative_positive,5.0,3.8,-1.2000000000000002,21,Male,Senior High School,6653627.144836433,Kalimantan,East Kalimantan,Urban,4,6,5,3.1-4 Juta,3132663.4516441408
P17509238366463,media_narrative_negative,5.0,4.0,-1.0,58,Male,Senior High School,6759649.065362694,Sumatra,Riau Islands,Rural,5,3,5,5.1-6 Juta,5487900.294019073
P17509238363190,full_policy_context,4.2,4.0,-0.20000000000000018,26,Male,Bachelor's Degree,11036428.97612491,Sumatra,Lampung,Urban,7,8,6,4.1-5 Juta,4697845.202562895
P17509238361551,control,4.2,4.2,0.0,36,Male,Master's Degree,20120090.79948035,Java,East Java,Urban,9,10,7,5.1-6 Juta,5404814.344251262
P17509238367627,control,5.5,5.0,-0.5,49,Male,Senior High School,4802806.1563642975,Java,Yogyakarta,Urban,5,6,5,3.1-4 Juta,3583601.6984900148
P17509238366728,current_inflation_target,5.0,4.0,-1.0,56,Female,Senior High School,7033349.8988421885,Sumatra,Bangka Belitung,Rural,5,3,3,7.1-8 Juta,7731229.304066936
P17509238362712,media_narrative_positive,4.0,3.8,-0.20000000000000018,43,Female,Bachelor's Degree,9266364.304594042,Java,West Java,Urban,8,8,6,3.1-4 Juta,3660385.1582518886
P17509238366141,policy_rate_decision,5.0,4.0,-1.0,46,Male,Senior High School,9079883.399805913,Kalimantan,East Kalimantan,Urban,5,5,8,7.1-8 Juta,7359244.2770981975
P17509238367491,policy_rate_decision,4.0,4.0,0.0,38,Male,Diploma,10161530.753382377,Java,West Java,Urban,6,7,5,5.1-6 Juta,5642960.302489489
P17509238364264,media_narrative_negative,5.0,4.0,-1.0,49,Female,Senior High School,12239009.77433806,Sumatra,Lampung,Urban,6,6,6,6.1-7 Juta,6126853.379122175
P17509238367110,control,6.0,6.0,0.0,74,Female,Senior High School,2619485.595697921,Sumatra,Riau,Urban,4,5,6,1-2 Juta,1729090.6751099583
P17509238364527,full_policy_context,5.0,4.0,-1.0,46,Female,Diploma,7763691.529366739,Java,Jakarta,Urban,6,6,4,3.1-4 Juta,3560835.814422271
P17509238362872,media_narrative_positive,6.0,4.0,-2.0,56,Female,Senior High School,2587654.584740336,Sulampua,West Papua,Rural,5,4,6,1-2 Juta,1608571.3667722428
P17509238364382,full_policy_context,5.0,4.0,-1.0,58,Male,Senior High School,8170441.1076865755,Sulampua,West Sulawesi,Urban,5,5,3,4.1-5 Juta,4445449.689726374
P17509238363390,current_inflation_target,4.0,4.0,0.0,38,Female,Diploma,17766943.3356293,Java,Central Java,Urban,7,7,4,> 8 Juta,11033608.450456552
P17509238366772,policy_rate_decision,5.0,4.5,-0.5,63,Female,Diploma,7392713.108613063,Sulampua,North Sulawesi,Rural,6,4,8,4.1-5 Juta,4205633.268210547
P17509238369377,control,6.0,6.0,0.0,34,Female,Senior High School,2062305.3123932625,Java,Yogyakarta,Rural,4,3,4,1-2 Juta,1949403.346281605
P17509238367384,media_narrative_negative,5.0,4.0,-1.0,28,Male,Senior High School,12268738.42020614,Java,East Java,Urban,5,6,8,6.1-7 Juta,6593192.808150127
P17509238363151,full_policy_context,5.0,4.0,-1.0,54,Female,Diploma,6275950.7029628195,Sumatra,South Sumatra,Urban,6,7,5,2.1-3 Juta,2279211.7715038653
P17509238368933,full_policy_context,5.0,4.0,-1.0,59,Female,Bachelor's Degree,13410578.07146356,Java,Yogyakarta,Rural,6,6,4,7.1-8 Juta,7923795.147245795
P17509238361389,media_narrative_positive,5.0,4.0,-1.0,31,Male,Senior High School,2300332.9671169277,Java,East Java,Urban,5,6,5,1-2 Juta,1102284.5917591294
P17509238364824,current_inflation_target,4.0,4.0,0.0,54,Male,Bachelor's Degree,2811849.0833281055,Java,East Java,Urban,7,8,1,1-2 Juta,1808306.1616416732
P17509238366335,full_policy_context,5.0,4.0,-1.0,35,Female,Diploma,6347734.205621478,Java,West Java,Rural,6,5,9,4.1-5 Juta,4327519.586593317
P17509238367650,policy_rate_decision,5.0,4.0,-1.0,31,Female,Senior High School,8155809.840008028,Bali-Nusa,Bali,Rural,6,4,3,6.1-7 Juta,6125843.479966444
P17509238366853,current_inflation_target,5.0,4.0,-1.0,42,Female,Senior High School,6183509.25265584,Sulampua,North Sulawesi,Urban,5,5,6,3.1-4 Juta,3164464.514942686
P17509238362736,current_inflation_target,4.0,4.0,0.0,22,Male,Bachelor's Degree,6535353.13371038,Java,Banten,Rural,7,4,3,4.1-5 Juta,4631369.459492514
P17509238362266,policy_rate_decision,6.0,6.0,0.0,53,Male,Senior High School,3146885.0105850664,Sulampua,South Sulawesi,Urban,4,5,7,1-2 Juta,1502874.6520135833
P17509238365844,media_narrative_positive,6.0,4.0,-2.0,58,Female,Senior High School,3675458.487713471,Sulampua,West Papua,Rural,4,3,2,2.1-3 Juta,2764079.3082132526
P17509238369193,policy_rate_decision,4.0,4.0,0.0,47,Female,Bachelor's Degree,10109631.617035298,Java,West Java,Rural,6,5,4,4.1-5 Juta,4239361.096009372
P17509238361899,current_inflation_target,5.0,4.0,-1.0,20,Female,Diploma,5144616.304265853,Bali-Nusa,East Nusa Tenggara,Rural,6,5,7,3.1-4 Juta,3541156.792466138
P17509238362435,control,5.0,5.0,0.0,33,Female,Senior High School,8077506.236005681,Sulampua,Maluku,Urban,5,6,4,4.1-5 Juta,4189405.4882280035
P17509238362290,media_narrative_negative,5.0,4.0,-1.0,35,Female,Senior High School,6462368.113166302,Bali-Nusa,West Nusa Tenggara,Urban,5,5,5,3.1-4 Juta,3872929.3289583144
P17509238364201,control,5.0,5.0,0.0,42,Male,Bachelor's Degree,4728325.94663746,Java,Banten,Rural,7,5,4,2.1-3 Juta,2792624.8961786344
P17509238362697,control,5.0,5.0,0.0,75,Male,Diploma,13297537.578990344,Java,Jakarta,Rural,6,5,6,> 8 Juta,9159908.293151382
P17509238366834,media_narrative_negative,4.0,4.0,0.0,35,Female,Bachelor's Degree,6838117.471549656,Java,East Java,Urban,7,9,8,2.1-3 Juta,2009424.7355986366
P17509238369621,policy_rate_decision,4.0,4.0,0.0,47,Female,Bachelor's Degree,18338453.604565285,Java,West Java,Urban,8,7,4,6.1-7 Juta,6678807.723078713
P17509238367557,policy_rate_decision,5.0,5.0,0.0,27,Male,Senior High School,4698020.896312827,Sumatra,Bengkulu,Urban,5,6,3,2.1-3 Juta,2979526.4130964917
P17509238368577,control,5.0,5.0,0.0,45,Female,Senior High School,8121315.007790409,Java,West Java,Urban,5,5,4,4.1-5 Juta,4746908.091958908
P17509238365112,current_inflation_target,5.0,4.0,-1.0,70,Female,Senior High School,5232122.514348256,Java,East Java,Urban,4,6,5,2.1-3 Juta,2341659.663584558
P17509238368824,current_inflation_target,5.0,4.0,-1.0,49,Female,Senior High School,5038142.894310059,Sulampua,Central Sulawesi,Rural,6,4,4,4.1-5 Juta,4551661.7339679785
P17509238368608,full_policy_context,5.0,4.0,-1.0,21,Female,Senior High School,9147046.598774116,Sumatra,West Sumatra,Urban,4,5,4,5.1-6 Juta,5283292.982270963
P17509238369958,media_narrative_negative,5.0,4.0,-1.0,41,Male,Senior High School,3868960.376923643,Java,West Java,Rural,5,4,4,3.1-4 Juta,3457240.018753043
P17509238369536,media_narrative_positive,4.0,4.0,0.0,40,Female,Senior High School,17661437.34843667,Kalimantan,North Kalimantan,Urban,6,5,6,> 8 Juta,8696911.257234454
P17509238369842,current_inflation_target,6.0,4.0,-2.0,31,Female,Senior High School,2909941.295364178,Java,Banten,Rural,5,3,5,2.1-3 Juta,2558733.9312545713
P17509238367404,media_narrative_positive,5.0,4.0,-1.0,38,Male,Senior High School,9752921.522726249,Kalimantan,West Kalimantan,Urban,4,6,6,5.1-6 Juta,5435380.79314454
P17509238366651,full_policy_context,6.0,4.0,-2.0,38,Female,Senior High School,3646260.42786808,Sumatra,West Sumatra,Urban,4,5,10,2.1-3 Juta,2098441.1134962724
P17509238361148,policy_rate_decision,5.0,5.0,0.0,20,Female,Senior High School,6220756.420179633,Java,East Java,Rural,4,4,4,4.1-5 Juta,4787442.450933997
P17509238366992,control,4.0,4.0,0.0,32,Female,Bachelor's Degree,8208547.946870588,Java,Central Java,Urban,7,8,5,3.1-4 Juta,3147410.2522202586
P17509238364713,media_narrative_negative,5.0,4.0,-1.0,39,Male,Senior High School,3941733.3930929517,Sumatra,Riau Islands,Rural,5,4,5,2.1-3 Juta,2032329.661468992
P17509238361538,control,5.0,4.0,-1.0,40,Female,Bachelor's Degree,13423134.419781592,Java,Central Java,Rural,7,6,9,> 8 Juta,13293625.913575444
P17509238369403,policy_rate_decision,5.0,4.0,-1.0,44,Female,Diploma,16462454.056370094,Java,West Java,Rural,7,4,7,> 8 Juta,13203412.977360994
P17509238366308,current_inflation_target,5.0,4.0,-1.0,41,Male,Senior High School,6946821.441823074,Java,Yogyakarta,Urban,4,5,9,5.1-6 Juta,5533729.27565283
P17509238364771,media_narrative_negative,5.0,4.0,-1.0,26,Female,Senior High School,3829519.9289907087,Kalimantan,South Kalimantan,Urban,5,5,7,2.1-3 Juta,2545634.1050082315
P17509238365985,policy_rate_decision,5.5,5.0,-0.5,47,Male,Senior High School,10546388.975836778,Kalimantan,East Kalimantan,Urban,4,6,9,7.1-8 Juta,7247977.984894517
P17509238363877,media_narrative_positive,6.0,4.0,-2.0,21,Female,Senior High School,2421765.3513756758,Java,West Java,Rural,5,3,2,2.1-3 Juta,2456658.841306346
P17509238366779,full_policy_context,5.0,4.0,-1.0,31,Female,Bachelor's Degree,4252818.223764043,Bali-Nusa,Bali,Rural,7,6,7,2.1-3 Juta,2535997.835915533
P17509238367304,control,5.0,5.0,0.0,51,Female,Senior High School,8085638.569128762,Sumatra,West Sumatra,Urban,4,5,3,6.1-7 Juta,6850885.961789824
P17509238368517,control,5.0,5.0,0.0,45,Female,Bachelor's Degree,3920016.7127737473,Bali-Nusa,West Nusa Tenggara,Urban,7,8,4,1-2 Juta,1705468.8266039144
P17509238367367,media_narrative_negative,5.0,4.0,-1.0,53,Female,Diploma,8013486.362702086,Java,Banten,Urban,6,7,4,5.1-6 Juta,5725513.956451961
P17509238363390,media_narrative_positive,5.0,4.0,-1.0,39,Male,Diploma,3927726.135344446,Bali-Nusa,West Nusa Tenggara,Urban,5,7,6,2.1-3 Juta,2650238.896423061
P17509238363432,current_inflation_target,4.0,3.8,-0.20000000000000018,33,Male,Bachelor's Degree,9866626.855371699,Java,Yogyakarta,Urban,6,7,6,3.1-4 Juta,3547923.4487145008
P17509238361073,full_policy_context,5.0,4.0,-1.0,24,Female,Senior High School,5675501.870846476,Kalimantan,Central Kalimantan,Urban,5,5,2,3.1-4 Juta,3131132.8097382574
P17509238369464,media_narrative_positive,4.0,3.8,-0.20000000000000018,39,Female,Diploma,14163385.908768844,Java,West Java,Urban,7,7,4,7.1-8 Juta,7449461.814145976
P17509238366259,current_inflation_target,5.0,4.0,-1.0,31,Male,Senior High School,6622689.988498861,Java,Central Java,Urban,5,6,5,3.1-4 Juta,3661933.0691788066
P17509238369509,media_narrative_negative,4.0,4.0,0.0,47,Male,Bachelor's Degree,5200939.895032371,Sumatra,Aceh,Urban,7,8,10,2.1-3 Juta,2765863.084943291
P17509238369826,control,3.8,4.2,0.40000000000000036,38,Female,Master's Degree,10923428.174020179,Java,Jakarta,Urban,9,8,8,4.1-5 Juta,4839325.931563902
P17509238363551,full_policy_context,4.0,4.0,0.0,78,Male,Diploma,7109169.966293157,Java,Jakarta,Urban,6,7,1,4.1-5 Juta,4296493.533148144
P17509238362040,current_inflation_target,5.0,4.0,-1.0,38,Male,Senior High School,6710343.618930056,Sulampua,Maluku,Urban,4,5,7,3.1-4 Juta,3652575.4682011446
P17509238367850,policy_rate_decision,5.0,4.0,-1.0,25,Male,Senior High School,6738347.932674845,Sumatra,Riau Islands,Urban,4,5,6,3.1-4 Juta,3234275.122024044
P17509238362659,full_policy_context,5.0,4.0,-1.0,39,Male,Senior High School,14080470.400841724,Sumatra,Aceh,Urban,5,6,6,7.1-8 Juta,7107770.635217053
P17509238365474,policy_rate_decision,5.0,4.0,-1.0,49,Female,Senior High School,13622033.33746558,Java,West Java,Urban,5,5,3,7.1-8 Juta,7384822.358682825
P17509238364528,media_narrative_positive,5.0,4.0,-1.0,37,Female,Senior High School,4248331.423103186,Java,West Java,Rural,4,3,5,4.1-5 Juta,4866959.188555326
P17509238367985,media_narrative_negative,5.0,4.0,-1.0,25,Female,Senior High School,8778734.63447768,Sulampua,North Maluku,Urban,4,5,1,4.1-5 Juta,4166923.5406072484
P17509238363991,media_narrative_negative,5.0,4.0,-1.0,33,Female,Senior High School,7170145.433379455,Java,Yogyakarta,Urban,6,5,4,4.1-5 Juta,4500836.803135642
P17509238367329,media_narrative_positive,5.0,4.0,-1.0,46,Female,Senior High School,3336596.2215737323,Sumatra,West Sumatra,Urban,4,6,6,2.1-3 Juta,2123739.091475338
P17509238369221,control,4.0,4.0,0.0,39,Female,Bachelor's Degree,21554918.03126159,Java,Jakarta,Urban,7,8,4,7.1-8 Juta,7927180.228840719
P17509238365095,full_policy_context,5.0,4.0,-1.0,37,Female,Senior High School,8544241.591662742,Java,Yogyakarta,Urban,4,5,7,4.1-5 Juta,4585668.604666414
P17509238367472,control,4.2,4.0,-0.20000000000000018,31,Male,Bachelor's Degree,15770062.829034295,Java,Banten,Urban,6,8,5,5.1-6 Juta,5307232.735734905
P17509238366920,media_narrative_positive,5.0,4.0,-1.0,44,Female,Senior High School,2907167.1481865644,Java,West Java,Rural,6,4,7,2.1-3 Juta,2658255.525338522
P17509238366296,current_inflation_target,4.0,4.0,0.0,45,Male,Bachelor's Degree,7602464.776897561,Java,Banten,Rural,6,5,4,3.1-4 Juta,3616465.8435806786
P17509238363991,current_inflation_target,5.0,4.0,-1.0,56,Female,Senior High School,5356861.716370901,Java,Central Java,Urban,5,5,5,2.1-3 Juta,2741559.548490313
P17509238361670,media_narrative_negative,5.0,4.0,-1.0,29,Male,Bachelor's Degree,4018396.386323218,Bali-Nusa,West Nusa Tenggara,Rural,6,5,3,1-2 Juta,1184253.0583600518
P17509238361360,current_inflation_target,5.0,4.0,-1.0,26,Male,Senior High School,4614959.050016287,Java,Yogyakarta,Rural,5,4,4,3.1-4 Juta,3643105.8025276293
P17509238367950,policy_rate_decision,5.0,4.0,-1.0,58,Female,Bachelor's Degree,2712140.5151074976,Sumatra,Lampung,Rural,6,6,6,1-2 Juta,1722458.962577514
P17509238365967,control,5.0,5.0,0.0,22,Female,Diploma,7838354.231541861,Java,West Java,Urban,5,6,4,3.1-4 Juta,3656372.5022709463
P17509238363931,policy_rate_decision,5.0,4.0,-1.0,22,Female,Diploma,7819148.860715535,Java,Central Java,Urban,6,7,7,3.1-4 Juta,3216250.7287831735
P17509238365719,policy_rate_decision,5.0,4.0,-1.0,25,Male,Senior High School,5182427.102210061,Java,Central Java,Urban,5,5,6,2.1-3 Juta,2538781.968173632
P17509238361461,control,5.0,5.0,0.0,30,Female,Senior High School,3292016.1268426836,Bali-Nusa,West Nusa Tenggara,Urban,5,6,5,2.1-3 Juta,2063101.2557702225
P17509238361134,policy_rate_decision,5.0,4.0,-1.0,20,Female,Diploma,14573672.9177166,Java,Jakarta,Urban,6,6,8,7.1-8 Juta,7845841.46378308
P17509238361217,media_narrative_positive,4.0,3.8,-0.20000000000000018,38,Female,Bachelor's Degree,12957701.861505356,Java,Jakarta,Rural,7,5,6,6.1-7 Juta,6419046.820177996
P17509238361962,current_inflation_target,4.0,3.8,-0.20000000000000018,30,Female,Master's Degree,6245240.84874073,Java,Central Java,Urban,8,8,4,1-2 Juta,1268017.4362599433
P17509238362159,current_inflation_target,5.0,4.0,-1.0,50,Male,Senior High School,20715101.60916031,Java,Banten,Urban,5,6,7,> 8 Juta,10230927.216918757
P17509238367009,control,6.0,5.0,-1.0,35,Male,Senior High School,3001793.5306431334,Bali-Nusa,West Nusa Tenggara,Urban,4,5,6,2.1-3 Juta,2542913.4241168816
P17509238363630,policy_rate_decision,4.0,3.8,-0.20000000000000018,23,Female,Bachelor's Degree,19692412.853853624,Java,Banten,Urban,8,8,3,> 8 Juta,8275343.748142973
P17509238369253,policy_rate_decision,5.0,4.0,-1.0,42,Male,Diploma,2238527.8475635294,Java,Central Java,Urban,6,6,7,1-2 Juta,1121368.1577053864
P17509238364957,control,4.0,4.0,0.0,44,Male,Bachelor's Degree,10218309.306174636,Java,Banten,Rural,8,6,4,6.1-7 Juta,6845202.620456987
P17509238369298,full_policy_context,4.0,4.0,0.0,39,Female,Bachelor's Degree,15959328.143279476,Java,Central Java,Rural,7,6,6,7.1-8 Juta,7395126.228598136
P17509238365139,control,5.0,5.0,0.0,45,Female,Senior High School,5506865.706907791,Java,East Java,Rural,5,4,8,4.1-5 Juta,4758286.012593131
P17509238362534,media_narrative_positive,5.0,4.0,-1.0,35,Male,Senior High School,2101137.6923723426,Kalimantan,West Kalimantan,Rural,5,3,7,1-2 Juta,1158949.0043461123
P17509238365714,current_inflation_target,5.0,4.0,-1.0,20,Female,Senior High School,7936102.063006348,Sulampua,Papua,Rural,5,3,6,5.1-6 Juta,5255735.193844454
