quarter,current_inflation,policy_rate,gdp_growth,unemployment,rupiah_exchange_rate,economic_outlook,inflation_target,global_factors,media_narrative
2022Q4,5.51,5.5,5.01,5.86,15100,"Cooling inflation, stable growth",3,"Easing commodity prices, cautious global outlook",Economic growth cooled. The rupiah weakened. Commodity prices stayed elevated but began to ease in some markets. Domestic commodity prices were broadly stable. General price pressures eased.
2023Q1,4.97,5.75,5.04,5.45,15400,"Slowdown, inflation persist",3,"High global interest rates, softening commodity prices","Economic growth was steady. The rupiah weakened. Global food prices eased from 2022 peaks, while some commodities stayed volatile. Domestic commodity prices were broadly stable. General price pressures eased."
2023Q2,3.52,5.75,5.17,5.45,15300,"Growth subdued, inflation cooling",3.5,"Commodity stabilization, US monetary pause","Economic growth was steady. The rupiah strengthened. Global food prices eased from 2022 peaks, while some commodities stayed volatile. Domestic commodity prices were broadly stable. General price pressures eased."
2023Q3,2.28,5.75,4.94,5.32,15500,"Modest rebound, inflation under control",3.5,"Soft commodity markets, global trade recovery","Economic growth cooled. The rupiah weakened. Global food prices eased from 2022 peaks, while some commodities stayed volatile. Domestic food prices rose, led by rice. General price pressures eased.  El Niño-driven dryness disrupted harvests."
2023Q4,2.61,6,5.04,5.32,15600,"Stable outlook, contained inflation",3.5,"Calmer commodities, mild global growth","Economic growth was steady. The rupiah weakened. Global food prices eased from 2022 peaks, while some commodities stayed volatile. Domestic food prices rose, led by rice. General prices were up.  El Niño-driven dryness disrupted harvests."
2024Q1,3.05,6,5.11,4.82,15600,"Strong growth, inflation normalizing",2.5,"Geopolitical tensions, oil supply risk","Economic growth was steady. The rupiah was stable. Global food prices drifted lower overall, though shipping disruptions added volatility. Domestic food prices rose, led by rice. General prices were up.  El Niño-driven dryness disrupted harvests. Global freight delays via the Red Sea added costs."
2024Q2,2.51,6.25,5.05,5.15,16200,"Balanced growth, slight inflation rise",2.5,"Oil volatility, supply chain pressure","Economic growth was steady. The rupiah weakened. Global food prices drifted lower overall, though shipping disruptions added volatility. Domestic food prices rose, led by rice. General price pressures eased.  Global freight delays via the Red Sea added costs."
2024Q3,1.84,6.25,4.95,4.91,15700,"Growth steady, inflation low",2.5,"Cooling commodity prices, cautious global economy","Economic growth was steady. The rupiah strengthened. Global food prices drifted lower overall, though shipping disruptions added volatility. Domestic commodity prices were broadly stable. General price pressures eased."
2024Q4,1.57,6,5.02,4.91,15800,"Moderate growth, record-low inflation",2.5,"Weak global demand, soft commodity prices","Economic growth was steady. The rupiah weakened. Global food prices drifted lower overall, though shipping disruptions added volatility. Domestic commodity prices were broadly stable. General price pressures eased.  "
2025Q1,1.03,5.75,4.87,4.76,16300,"Slowing growth, easing rate",2.5,"Global uncertainty, weak trade","Economic growth was steady. The rupiah weakened. Global commodity prices were softer than 2022 highs, with pockets of firmness. Domestic commodity prices were broadly stable. General price pressures eased."
2025Q2,1.87,5.5,5.1,4.76,16500,"Inflation low, room to cut rates",2.5,"Geopolitical risks, global recovery weak","Economic growth picked up. The rupiah weakened. Global commodity prices were softer than 2022 highs, with pockets of firmness. Domestic commodity prices were broadly stable. General prices were up."
